element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,event,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,key_passes,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
443,9,12,0,False,2017-08-13T15:00:00Z,4,0,1,9,0,0,0,2,0,0,0,0,0,0,0,3,0.4,0.6,18.0,1.9,50,0,25136,0,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
153,5,15,0,True,2017-08-12T14:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,4681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,4,6,6,False,2017-08-12T14:00:00Z,0,3,1,90,0,1,1,0,0,0,0,0,0,0,0,22,40.2,46.9,0.0,8.7,55,0,59955,0,0,52,0,0,5,41,0,0,0,0,3,0,1,0,5,2,0,0,0
18,1,9,6,True,2017-08-11T18:45:00Z,4,3,1,23,1,0,0,0,0,0,0,0,0,0,0,16,29.6,11.2,26.0,6.7,70,0,33792,0,0,11,0,1,0,8,0,0,0,0,1,0,0,0,2,0,0,3,0
414,7,10,9,True,2017-08-12T11:30:00Z,3,3,1,90,1,0,0,3,0,0,0,0,0,0,2,36,48.6,25.2,35.0,10.9,50,0,1207,0,0,73,0,0,3,60,3,0,0,2,2,0,0,0,11,1,1,0,0
31,8,19,0,False,2017-08-12T14:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,224542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,7,18,0,False,2017-08-12T11:30:00Z,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,0,45019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,8,19,1,False,2017-08-12T14:00:00Z,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,2,2.2,0.6,0.0,0.3,50,0,50168,0,0,6,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0
157,5,15,0,True,2017-08-12T14:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,8034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,7,10,0,True,2017-08-12T11:30:00Z,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,171365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,9,12,0,False,2017-08-13T15:00:00Z,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,24951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,8,2,15,True,2017-08-12T14:00:00Z,1,0,1,90,1,0,1,0,0,0,0,0,0,0,3,39,57.8,10.3,53.0,12.1,45,0,90370,0,0,25,0,0,12,18,0,0,0,1,1,0,0,0,3,0,0,1,1
207,1,1,0,False,2017-08-11T18:45:00Z,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,0,35587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,7,18,1,False,2017-08-12T11:30:00Z,3,3,1,90,0,0,0,3,0,0,0,0,0,0,0,14,26.8,12.8,7.0,4.7,45,0,65856,0,0,44,0,0,5,35,2,0,0,1,1,0,0,0,2,0,1,0,0
