element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,event,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,key_passes,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
379,39,4,1,True,2016-09-11T15:00:00Z,2,2,4,50,0,0,0,1,0,0,0,0,0,0,0,4,2.4,0.8,2.0,0.5,50,1986,26616,5746,3760,6,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1,0,0
159,33,3,0,False,2016-09-10T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-58,287,9,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,31,13,0,True,2016-09-10T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-4334,26190,729,5063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,35,10,0,True,2016-09-10T11:30:00Z,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1579,10631,129,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,33,3,0,False,2016-09-10T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-19,294,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,37,14,0,False,2016-09-10T14:00:00Z,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-266,5271,500,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,37,14,0,False,2016-09-10T14:00:00Z,0,4,4,13,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,0.8,2.0,0.1,70,4479,5701,5882,1403,5,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0
139,40,15,0,False,2016-09-12T19:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-64,1086,111,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,39,16,2,False,2016-09-11T15:00:00Z,2,2,4,90,0,0,0,2,0,0,0,0,0,0,0,14,14.4,12.9,13.0,4.0,50,-75321,776013,17004,92325,52,0,0,5,49,0,0,0,2,1,0,0,0,12,1,0,2,0
395,37,14,0,False,2016-09-10T14:00:00Z,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1111,3400,12,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,32,2,2,False,2016-09-10T14:00:00Z,1,0,4,90,0,0,0,1,0,0,0,0,0,0,0,10,4.0,6.3,50.0,6.0,64,4069,13703,6523,2454,27,0,0,2,23,1,0,0,1,0,0,0,0,5,1,2,1,0
10,31,13,1,True,2016-09-10T14:00:00Z,2,1,4,90,0,0,0,1,0,0,0,1,0,0,0,20,16.6,14.6,21.0,5.2,60,-26450,196161,4479,30929,66,0,0,8,56,0,0,0,1,1,0,0,0,12,0,3,1,0
183,34,9,0,False,2016-09-10T16:30:00Z,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-5531,22981,616,6147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,39,16,0,False,2016-09-11T15:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,7,294,49,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,34,8,2,True,2016-09-10T16:30:00Z,4,1,4,90,0,0,0,1,0,0,0,0,0,0,0,19,22.2,38.8,6.0,6.7,55,-15684,402590,9260,24944,49,0,0,5,35,1,0,0,0,3,0,1,0,3,1,2,0,0
36,32,19,0,True,2016-09-10T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-5334,52830,1489,6823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,39,4,0,True,2016-09-11T15:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-819,6655,203,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,31,1,2,False,2016-09-10T14:00:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,0,0,10,3.2,32.3,19.0,5.5,61,-72574,414711,27128,99702,32,0,0,0,27,2,0,0,1,2,1,1,0,4,3,0,1,0
360,39,4,1,True,2016-09-11T15:00:00Z,2,2,4,40,0,0,0,1,0,0,0,0,0,0,0,1,2.4,1.2,0.0,0.4,44,-5454,19755,460,5914,16,0,0,0,9,1,0,0,1,0,0,0,0,2,4,1,0,0
87,39,16,2,False,2016-09-11T15:00:00Z,2,2,4,75,0,0,0,2,0,0,0,0,0,0,0,15,11.8,20.8,8.0,4.1,50,5714,97286,14256,8542,48,0,0,1,43,1,0,0,0,1,0,1,0,7,2,1,0,0
471,33,7,0,True,2016-09-10T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2621,87389,2012,4633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,35,11,3,False,2016-09-10T11:30:00Z,1,2,4,90,0,0,0,1,0,0,0,0,0,0,1,29,45.2,14.6,35.0,9.5,60,-3339,120618,4618,7957,55,0,0,13,50,0,0,0,1,1,0,0,0,6,1,5,0,0
422,38,20,0,False,2016-09-10T14:00:00Z,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-270,7097,1362,1632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,38,20,11,False,2016-09-10T14:00:00Z,2,4,4,68,1,1,0,2,0,0,0,0,0,0,2,38,53.4,23.2,63.0,14.0,73,-36001,195814,3516,39517,13,0,1,1,13,1,0,0,1,2,0,0,0,2,0,1,2,0
508,36,12,0,False,2016-09-10T14:00:00Z,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-86,965,188,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,39,16,0,False,2016-09-11T15:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-670,3044,36,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,35,11,0,False,2016-09-10T11:30:00Z,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-583,1506,21,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
