,element,event,value
4776,100,38,48
4777,101,1,55
4778,101,2,55
4779,101,3,54
4780,101,4,54
4781,101,5,53
4782,101,6,53
4783,101,7,52
4784,101,8,52
4785,101,9,52
4786,101,10,52
4787,101,11,52
4788,101,12,52
4789,101,13,52
4790,101,14,52
4791,101,15,53
4792,101,16,53
4793,101,17,53
4794,101,18,53
4795,101,19,52
4796,101,20,51
4797,101,21,51
4798,101,22,51
4799,101,23,51
4800,101,24,51
4801,101,25,50
4802,101,26,50
4803,101,27,50
4804,101,28,50
4805,101,29,50
4806,101,30,50
4807,101,32,49
4809,101,34,49
4811,101,35,48
4812,101,36,48
4813,101,37,48
4814,101,38,48
4815,102,1,45
4816,102,2,45
4817,102,3,45
4818,102,4,44
4819,102,5,44
4820,102,6,44
4821,102,7,44
4822,102,8,44
4823,102,9,44
4824,102,10,44
4825,102,11,44
4826,102,12,44
4827,102,13,44
4828,102,14,44
4829,102,15,44
4830,102,16,44
4831,102,17,44
4832,102,18,44
4833,102,19,44
4834,102,20,44
4835,102,21,44
4836,102,22,44
4837,102,23,44
4838,102,24,44
4839,102,25,44
4840,102,26,44
4841,102,27,44
4842,102,28,44
4843,102,29,44
4844,102,30,44
4845,102,32,44
4847,102,34,44
4849,102,35,44
4850,102,36,44
4851,102,37,44
4852,102,38,44
4853,103,1,45
4854,103,2,45
4855,103,3,45
4856,103,4,44
4857,103,5,44
4858,103,6,44
4859,103,7,44
4860,103,8,44
4861,103,9,44
4862,103,10,44
4863,103,11,44
4864,103,12,44
4865,103,13,44
4866,103,14,44
4867,103,15,44
4868,103,16,44
4869,103,17,44
4870,103,18,44
4871,103,19,44
4872,103,20,44
4873,103,21,44
4874,103,22,44
4875,103,23,44
4876,103,24,44
4877,103,25,44
4878,103,26,44
4879,103,27,44
4880,103,28,44
4881,103,29,44
4882,103,30,44
4883,103,32,44
4885,103,34,44
4887,103,35,44
4888,103,36,44
4889,103,37,44
4890,103,38,44
4891,104,1,45
4892,104,2,45
4893,104,3,45
4894,104,4,44
4895,104,5,44
4896,104,6,44
4897,104,7,44
4898,104,8,44
4899,104,9,44
4900,104,10,44
4901,104,11,44
4902,104,12,44
4903,104,13,44
4904,104,14,43
4905,104,15,43
4906,104,16,43
4907,104,17,43
4908,104,18,43
4909,104,19,43
4910,104,20,43
4911,104,21,43
4912,104,22,43
4913,104,23,43
4914,104,24,43
4915,104,25,43
4916,104,26,43
4917,104,27,43
4918,104,28,43
4919,104,29,43
4920,104,30,43
4921,104,32,43
4923,104,34,43
4925,104,35,43
4926,104,36,43
4927,104,37,43
4928,104,38,43
4929,105,1,45
4930,105,2,45
4931,105,3,45
4932,105,4,45
4933,105,5,45
4934,105,6,45
4935,105,7,45
4936,105,8,45
4937,105,9,45
4938,105,10,45
4939,105,11,44
4940,105,12,44
4941,105,13,44
4942,105,14,44
4943,105,15,43
4944,105,16,43
4945,105,17,43
4946,105,18,43
4947,105,19,43
4948,105,20,43
4949,105,21,43
4950,105,22,43
4951,105,23,43
4952,105,24,43
4953,105,25,43
4954,105,26,43
4955,105,27,43
4956,105,28,43
4957,105,29,43
4958,105,30,43
4959,105,32,43
4961,105,34,43
4963,105,35,43
4964,105,36,43
4965,105,37,43
4966,105,38,43
4967,106,1,50
4968,106,2,50
4969,106,3,50
4970,106,4,49
4971,106,5,49
4972,106,6,48
4973,106,7,48
4974,106,8,48
4975,106,9,48
4976,106,10,48
4977,106,11,48
4978,106,12,48
4979,106,13,48
4980,106,14,48
4981,106,15,48
4982,106,16,48
4983,106,17,48
4984,106,18,48
4985,106,19,48
4986,106,20,48
4987,106,21,48
4988,106,22,48
4989,106,23,48
4990,106,24,48
4991,106,25,48
4992,106,26,48
4993,106,27,48
4994,106,28,48
4995,106,29,48
4996,106,30,48
4997,106,32,48
4999,106,34,48
5001,106,35,48
5002,106,36,48
5003,106,37,48
5004,106,38,48
5005,107,1,50
5006,107,2,50
5007,107,3,49
5008,107,4,49
5009,107,5,49
5010,107,6,48
5011,107,7,48
5012,107,8,48
5013,107,9,47
5014,107,10,47
5015,107,11,47
5016,107,12,47
5017,107,13,47
5018,107,14,47
5019,107,15,47
5020,107,16,46
5021,107,17,46
5022,107,18,46
5023,107,19,46
5024,107,20,46
5025,107,21,46
5026,107,22,46
5027,107,23,46
5028,107,24,46
5029,107,25,46
5030,107,26,46
5031,107,27,46
5032,107,28,46
5033,107,29,46
5034,107,30,46
5035,107,32,46
5037,107,34,46
5039,107,35,46
5040,107,36,46
5041,107,37,46
5042,107,38,46
5043,108,1,45
5044,108,2,45
5045,108,3,45
5046,108,4,45
5047,108,5,45
5048,108,6,45
5049,108,7,45
5050,108,8,45
5051,108,9,45
5052,108,10,45
5053,108,11,45
5054,108,12,45
5055,108,13,45
5056,108,14,45
5057,108,15,45
5058,108,16,45
5059,108,17,45
5060,108,18,45
5061,108,19,45
5062,108,20,45
5063,108,21,45
5064,108,22,45
5065,108,23,45
5066,108,24,45
5067,108,25,45
5068,108,26,45
5069,108,27,45
5070,108,28,45
5071,108,29,45
5072,108,30,45
5073,108,32,45
5075,108,34,45
5077,108,35,45
5078,108,36,45
5079,108,37,45
5080,108,38,45
5081,109,1,45
5082,109,2,45
5083,109,3,45
5084,109,4,45
5085,109,5,45
5086,109,6,45
5087,109,7,45
5088,109,8,45
5089,109,9,44
5090,109,10,44
5091,109,11,44
5092,109,12,44
5093,109,13,44
5094,109,14,44
5095,109,15,44
5096,109,16,44
5097,109,17,44
5098,109,18,44
5099,109,19,44
5100,109,20,44
5101,109,21,44
5102,109,22,44
5103,109,23,44
5104,109,24,44
5105,109,25,44
5106,109,26,44
5107,109,27,44
5108,109,28,44
5109,109,29,44
5110,109,30,44
5111,109,32,44
5113,109,34,44
5115,109,35,44
5116,109,36,44
5117,109,37,44
5118,109,38,44
5119,110,1,55
5120,110,2,55
5121,110,3,55
5122,110,4,54
5123,110,5,54
5124,110,6,53
5125,110,7,53
5126,110,8,53
5127,110,9,52
5128,110,10,52
5129,110,11,52
5130,110,12,52
5131,110,13,52
5132,110,14,52
5133,110,15,52
5134,110,16,52
5135,110,17,52
5136,110,18,52
5137,110,19,52
5138,110,20,52
5139,110,21,52
5140,110,22,52
5141,110,23,52
5142,110,24,52
5143,110,25,52
5144,110,26,52
5145,110,27,52
5146,110,28,52
5147,110,29,52
5148,110,30,52
5149,110,32,52
5151,110,34,52
5153,110,35,52
5154,110,36,52
5155,110,37,52
5156,110,38,52
5157,176,1,55
5158,176,2,55
5159,176,3,54
5160,176,4,53
5161,176,5,53
5162,176,6,52
5163,176,7,52
5164,176,8,52
5165,176,9,51
5166,176,10,51
5167,176,11,51
5168,176,12,51
5169,176,13,51
5170,176,14,50
5171,176,15,50
5172,176,16,50
5173,176,17,50
5174,176,18,50
5175,176,19,50
5176,176,20,50
5177,176,21,50
5178,176,22,50
5179,176,23,50
5180,176,24,50
5181,176,25,50
5182,176,26,50
5183,176,27,50
5184,176,28,50
5185,176,29,50
5186,176,30,50
5187,176,32,50
5189,176,34,50
5191,176,35,50
5192,176,36,50
5193,176,37,50
5194,176,38,50
5195,467,1,45
5196,467,2,45
5197,467,3,44
5198,467,4,44
5199,467,5,43
5200,467,6,43
5201,467,7,43
5202,467,8,43
5203,467,9,43
5204,467,10,42
5205,467,11,42
5206,467,12,42
5207,467,13,42
5208,467,14,42
5209,467,15,42
5210,467,16,42
5211,467,17,42
5212,467,18,42
5213,467,19,42
5214,467,20,42
5215,467,21,42
5216,467,22,42
5217,467,23,42
5218,467,24,42
5219,467,25,42
5220,467,26,42
5221,467,27,42
5222,467,28,42
5223,467,29,42
5224,467,30,42
5225,467,32,41
5227,467,34,41
5229,467,35,41
5230,467,36,41
5231,467,37,41
5232,467,38,41
5233,504,1,45
5234,504,2,45
5235,504,3,45
5236,504,4,45
5237,504,5,45
5238,504,6,45
5239,504,7,45
5240,504,8,45
5241,504,9,45
5242,504,10,45
5243,504,11,45
5244,504,12,45
5245,504,13,45
5246,504,14,45
5247,504,15,46
5248,504,16,46
5249,504,17,46
5250,504,18,46
5251,504,19,46
5252,504,20,46
5253,504,21,46
5254,504,22,46
5255,504,23,46
5256,504,24,46
5257,504,25,46
5258,504,26,46
5259,504,27,46
5260,504,28,46
5261,504,29,46
5262,504,30,46
5263,504,32,45
5265,504,34,45
5267,504,35,44
5268,504,36,44
5269,504,37,44
5270,504,38,44
5271,535,4,45
5272,535,5,45
5273,535,6,45
5274,535,7,45
5275,535,8,45
5276,535,9,45
5277,535,10,45
5278,535,11,45
5279,535,12,45
5280,535,13,45
5281,535,14,45
5282,535,15,45
5283,535,16,45
5284,535,17,45
5285,535,18,45
5286,535,19,45
5287,535,20,45
5288,535,21,45
5289,535,22,45
5290,535,23,45
5291,535,24,45
5292,535,25,45
5293,535,26,45
5294,535,27,45
5295,535,28,45
5296,535,29,45
5297,535,30,45
5298,535,32,45
5300,535,34,45
5302,535,35,45
5303,535,36,45
5304,535,37,45
5305,535,38,45
5306,537,4,40
5307,537,5,40
5308,537,6,40
5309,537,7,40
5310,537,8,40
5311,537,9,40
5312,537,10,40
5313,537,11,40
5314,537,12,40
5315,537,13,40
5316,537,14,40
5317,537,15,40
5318,537,16,40
5319,537,17,40
5320,537,18,40
5321,537,19,40
5322,537,20,40
5323,537,21,40
5324,537,22,40
5325,537,23,40
5326,537,24,40
5327,537,25,40
5328,537,26,40
5329,537,27,40
5330,537,28,40
5331,537,29,40
5332,537,30,40
5333,537,32,40
5335,537,34,40
5337,537,35,40
5338,537,36,40
5339,537,37,40
5340,537,38,40
5341,573,22,45
5342,573,23,45
5343,573,24,45
5344,573,25,45
5345,573,26,45
5346,573,27,45
5347,573,28,45
5348,573,29,45
5349,573,30,45
5350,573,32,45
5352,573,34,45
5354,573,35,45
5355,573,36,45
5356,573,37,45
5357,573,38,45
5358,589,25,45
5359,589,26,45
5360,589,27,45
5361,589,28,45
5362,589,29,45
5363,589,30,45
5364,589,32,44
5366,589,34,44
5368,589,35,44
5369,589,36,43
5370,589,37,43
5371,589,38,43
5372,111,1,55
5373,111,2,55
5374,111,3,55
5375,111,4,55
5376,111,5,55
5377,111,6,55
5378,111,7,55
5379,111,8,55
5380,111,9,55
5381,111,10,55
5382,111,11,55
5383,111,12,55
5384,111,13,55
5385,111,14,55
5386,111,15,55
5387,111,16,55
5388,111,17,55
5389,111,18,55
5390,111,19,55
5391,111,20,55
5392,111,21,55
5393,111,22,55
5394,111,23,55
5395,111,24,55
5396,111,25,55
5397,111,26,55
5398,111,28,55
5399,111,29,55
5400,111,30,55
5401,111,31,55
5402,111,32,55
5404,111,33,55
5405,111,34,55
5406,111,35,55
5407,111,36,55
5408,111,37,55
5409,111,38,55
5410,112,1,50
5411,112,2,50
5412,112,3,49
5413,112,4,49
5414,112,5,49
5415,112,6,48
5416,112,7,48
5417,112,8,48
5418,112,9,48
5419,112,10,48
5420,112,11,48
5421,112,12,48
5422,112,13,47
5423,112,14,47
5424,112,15,47
5425,112,16,47
5426,112,17,47
5427,112,18,47
5428,112,19,47
5429,112,20,47
5430,112,21,47
5431,112,22,47
5432,112,23,47
5433,112,24,47
5434,112,25,47
5435,112,26,47
5436,112,28,47
5437,112,29,47
5438,112,30,47
5439,112,31,47
5440,112,32,47
5442,112,33,47
5443,112,34,47
5444,112,35,47
5445,112,36,47
5446,112,37,47
5447,112,38,47
5448,113,1,65
5449,113,2,65
5450,113,3,65
5451,113,4,65
5452,113,5,64
5453,113,6,64
5454,113,7,64
5455,113,8,64
5456,113,9,64
5457,113,10,64
5458,113,11,64
5459,113,12,63
5460,113,13,63
5461,113,14,63
5462,113,15,63
5463,113,16,63
5464,113,17,63
5465,113,18,63
5466,113,19,63
5467,113,20,63
5468,113,21,63
5469,113,22,63
5470,113,23,63
5471,113,24,63
5472,113,25,63
5473,113,26,63
5474,113,28,63
5475,113,29,63
5476,113,30,63
5477,113,31,63
5478,113,32,63
5480,113,33,63
5481,113,34,64
5482,113,35,64
5483,113,36,64
5484,113,37,64
5485,113,38,64
5486,114,1,55
5487,114,2,55
5488,114,3,54
5489,114,4,53
5490,114,5,53
5491,114,6,52
5492,114,7,52
5493,114,8,52
5494,114,9,52
5495,114,10,52
5496,114,11,51
5497,114,12,51
5498,114,13,51
5499,114,14,51
5500,114,15,51
5501,114,16,51
5502,114,17,51
5503,114,18,51
5504,114,19,51
5505,114,20,51
5506,114,21,51
5507,114,22,51
5508,114,23,51
5509,114,24,50
5510,114,25,50
5511,114,26,50
5512,114,28,50
5513,114,29,50
5514,114,30,50
5515,114,31,50
5516,114,32,50
5518,114,33,50
5519,114,34,50
5520,114,35,50
5521,114,36,50
5522,114,37,50
5523,114,38,50
5524,115,1,65
5525,115,2,65
5526,115,3,66
5527,115,4,67
5528,115,5,68
5529,115,6,69
5530,115,7,69
5531,115,8,69
5532,115,9,70
5533,115,10,70
5534,115,11,70
5535,115,12,70
5536,115,13,71
5537,115,14,71
5538,115,15,71
5539,115,16,71
5540,115,17,70
5541,115,18,70
5542,115,19,69
5543,115,20,68
5544,115,21,68
5545,115,22,67
5546,115,23,66
5547,115,24,66
5548,115,25,65
5549,115,26,65
5550,115,28,64
5551,115,29,64
5552,115,30,64
5553,115,31,64
5554,115,32,64
5556,115,33,64
5557,115,34,63
5558,115,35,63
5559,115,36,63
5560,115,37,62
5561,115,38,62
5562,116,1,55
5563,116,2,55
5564,116,3,55
5565,116,4,55
5566,116,5,55
5567,116,6,55
5568,116,7,55
5569,116,8,55
5570,116,9,55
5571,116,10,55
5572,116,11,55
5573,116,12,55
5574,116,13,56
5575,116,14,56
5576,116,15,56
5577,116,16,56
5578,116,17,57
5579,116,18,58
5580,116,19,58
5581,116,20,58
5582,116,21,58
5583,116,22,59
5584,116,23,59
5585,116,24,59
5586,116,25,59
5587,116,26,59
5588,116,28,59
5589,116,29,59
5590,116,30,59
5591,116,31,59
5592,116,32,60
5594,116,33,60
5595,116,34,60
5596,116,35,59
5597,116,36,59
5598,116,37,58
5599,116,38,58
5600,117,1,60
5601,117,2,60
5602,117,3,59
5603,117,4,58
5604,117,5,58
5605,117,6,57
5606,117,7,57
5607,117,8,57
5608,117,9,57
5609,117,10,57
5610,117,11,56
5611,117,12,56
5612,117,13,56
5613,117,14,56
5614,117,15,56
5615,117,16,56
5616,117,17,56
5617,117,18,56
5618,117,19,56
5619,117,20,56
5620,117,21,55
5621,117,22,55
5622,117,23,55
5623,117,24,55
5624,117,25,55
5625,117,26,55
5626,117,28,55
5627,117,29,55
5628,117,30,55
5629,117,31,55
5630,117,32,55
5632,117,33,55
5633,117,34,55
5634,117,35,55
5635,117,36,55
5636,117,37,55
5637,117,38,55
5638,118,1,60
5639,118,2,60
5640,118,3,60
5641,118,4,60
5642,118,5,60
5643,118,6,60
5644,118,7,60
5645,118,8,59
5646,118,9,59
5647,118,10,59
5648,118,11,60
5649,118,12,60
5650,118,13,60
5651,118,14,60
5652,118,15,60
5653,118,16,60
5654,118,17,60
5655,118,18,60
5656,118,19,60
5657,118,20,60
5658,118,21,60
5659,118,22,60
5660,118,23,60
5661,118,24,60
5662,118,25,60
5663,118,26,60
5664,118,28,59
5665,118,29,59
5666,118,30,59
5667,118,31,59
5668,118,32,59
5670,118,33,59
5671,118,34,59
5672,118,35,59
5673,118,36,59
5674,118,37,59
5675,118,38,59
5676,119,1,55
5677,119,2,54
5678,119,3,53
5679,119,4,52
5680,119,5,52
5681,119,6,51
5682,119,7,51
5683,119,8,51
5684,119,9,50
5685,119,10,50
5686,119,11,50
5687,119,12,50
5688,119,13,50
5689,119,14,50
5690,119,15,50
5691,119,16,50
5692,119,17,50
5693,119,18,50
5694,119,19,50
5695,119,20,50
5696,119,21,50
5697,119,22,50
5698,119,23,50
5699,119,24,50
5700,119,25,50
5701,119,26,50
5702,119,28,50
5703,119,29,50
5704,119,30,50
5705,119,31,50
5706,119,32,50
5708,119,33,50
5709,119,34,50
5710,119,35,50
5711,119,36,50
5712,119,37,50
5713,119,38,50
5714,120,1,55
5715,120,2,54
5716,120,3,53
5717,120,4,53
5718,120,5,52
5719,120,6,52
5720,120,7,52
5721,120,8,52
5722,120,9,52
5723,120,10,51
5724,120,11,51
5725,120,12,51
5726,120,13,51
5727,120,14,51
5728,120,15,51
5729,120,16,51
5730,120,17,51
5731,120,18,51
5732,120,19,51
5733,120,20,51
5734,120,21,51
5735,120,22,51
5736,120,23,51
5737,120,24,51
5738,120,25,51
5739,120,26,50
5740,120,28,50
5741,120,29,50
5742,120,30,50
5743,120,31,50
5744,120,32,50
5746,120,33,50
5747,120,34,50
5748,120,35,50
5749,120,36,50
5750,120,37,50
5751,120,38,50
5752,121,1,55
5753,121,2,55
5754,121,3,54
5755,121,4,54
5756,121,5,53
5757,121,6,53
5758,121,7,53
5759,121,8,52
5760,121,9,52
5761,121,10,52
5762,121,11,52
5763,121,12,52
5764,121,13,52
5765,121,14,52
5766,121,15,52
5767,121,16,52
5768,121,17,52
5769,121,18,52
5770,121,19,52
5771,121,20,52
5772,121,21,52
5773,121,22,52
5774,121,23,52
5775,121,24,52
5776,121,25,52
5777,121,26,52
5778,121,28,52
5779,121,29,52
5780,121,30,52
5781,121,31,52
5782,121,32,52
5784,121,33,52
5785,121,34,52
5786,121,35,52
5787,121,36,52
5788,121,37,52
5789,121,38,52
5790,122,1,105
5791,122,2,105
5792,122,3,105
5793,122,4,106
5794,122,5,107
5795,122,6,109
5796,122,7,110
5797,122,8,112
5798,122,9,114
5799,122,10,114
5800,122,11,113
5801,122,12,113
5802,122,13,112
5803,122,14,111
5804,122,15,110
5805,122,16,109
5806,122,17,109
5807,122,18,110
5808,122,19,110
5809,122,20,111
5810,122,21,111
5811,122,22,111
5812,122,23,111
5813,122,24,110
5814,122,25,109
5815,122,26,109
5816,122,28,108
5817,122,29,108
5818,122,30,108
5819,122,31,109
5820,122,32,110
5822,122,33,111
5823,122,34,111
5824,122,35,110
5825,122,36,109
5826,122,37,109
5827,122,38,110
5828,123,1,65
5829,123,2,64
5830,123,3,64
5831,123,4,63
5832,123,5,63
5833,123,6,63
5834,123,7,63
5835,123,8,63
5836,123,9,63
5837,123,10,63
5838,123,11,63
5839,123,12,63
5840,123,13,63
5841,123,14,63
5842,123,15,63
5843,123,16,63
5844,123,17,63
5845,123,18,62
5846,123,19,62
5847,123,20,62
5848,123,21,62
5849,123,22,62
5850,123,23,62
5851,123,24,62
5852,123,25,62
5853,123,26,62
5854,123,28,62
5855,123,29,62
5856,123,30,62
5857,123,31,62
5858,123,32,62
5860,123,33,62
5861,123,34,62
5862,123,35,62
5863,123,36,62
5864,123,37,62
5865,123,38,62
5866,124,1,75
5867,124,2,75
5868,124,3,75
5869,124,4,74
5870,124,5,74
5871,124,6,74
5872,124,7,74
5873,124,8,74
5874,124,9,74
5875,124,10,74
5876,124,11,74
5877,124,12,74
5878,124,13,74
5879,124,14,74
5880,124,15,74
5881,124,16,73
5882,124,17,73
5883,124,18,73
5884,124,19,73
5885,124,20,72
5886,124,21,72
5887,124,22,72
5888,124,23,72
5889,124,24,72
5890,124,25,72
5891,124,26,72
5892,124,28,71
5893,124,29,71
5894,124,30,71
5895,124,31,71
5896,124,32,71
5898,124,33,71
5899,124,34,71
5900,124,35,71
5901,124,36,71
5902,124,37,71
5903,124,38,71
5904,125,1,65
5905,125,2,65
5906,125,3,66
5907,125,4,67
5908,125,5,68
5909,125,6,68
5910,125,7,66
5911,125,8,65
5912,125,9,65
5913,125,10,64
5914,125,11,63
5915,125,12,63
5916,125,13,63
5917,125,14,63
5918,125,15,63
5919,125,16,63
5920,125,17,63
5921,125,18,63
5922,125,19,63
5923,125,20,63
5924,125,21,63
5925,125,22,63
5926,125,23,63
5927,125,24,63
5928,125,25,63
5929,125,26,63
5930,125,28,63
5931,125,29,63
5932,125,30,63
5933,125,31,63
5934,125,32,64
5936,125,33,64
5937,125,34,63
5938,125,35,62
5939,125,36,62
5940,125,37,62
5941,125,38,62
5942,126,1,50
5943,126,2,50
5944,126,3,50
5945,126,4,50
5946,126,5,50
5947,126,6,50
5948,126,7,50
5949,126,8,50
5950,126,9,50
5951,126,10,49
5952,126,11,49
5953,126,12,49
5954,126,13,49
5955,126,14,49
5956,126,15,49
5957,126,16,49
5958,126,17,49
5959,126,18,49
5960,126,19,49
5961,126,20,49
5962,126,21,49
5963,126,22,50
5964,126,23,50
5965,126,24,50
5966,126,25,50
5967,126,26,50
5968,126,28,50
5969,126,29,50
5970,126,30,50
5971,126,31,50
5972,126,32,50
5974,126,33,50
5975,126,34,50
5976,126,35,50
5977,126,36,50
5978,126,37,49
5979,126,38,49
5980,127,1,60
5981,127,2,60
5982,127,3,60
5983,127,4,59
5984,127,5,58
5985,127,6,58
5986,127,7,58
5987,127,8,57
5988,127,9,57
5989,127,10,57
5990,127,11,59
5991,127,12,60
5992,127,13,59
5993,127,14,59
5994,127,15,58
5995,127,16,57
5996,127,17,56
5997,127,18,55
5998,127,19,54
5999,127,20,53
6000,127,21,53
6001,127,22,52
6002,127,23,52
6003,127,24,51
6004,127,25,51
6005,127,26,51
6006,127,28,51
6007,127,29,51
6008,127,30,51
6009,127,31,51
6010,127,32,51
6012,127,33,51
6013,127,34,51
6014,127,35,50
6015,127,36,50
6016,127,37,50
6017,127,38,50
6018,128,1,50
6019,128,2,50
6020,128,3,49
6021,128,4,49
6022,128,5,48
6023,128,6,48
6024,128,7,48
6025,128,8,48
6026,128,9,47
6027,128,10,47
6028,128,11,47
6029,128,12,47
6030,128,13,47
6031,128,14,47
6032,128,15,47
6033,128,16,47
6034,128,17,47
6035,128,18,47
6036,128,19,47
6037,128,20,47
6038,128,21,47
6039,128,22,47
6040,128,23,46
6041,128,24,46
6042,128,25,46
6043,128,26,46
6044,128,28,46
6045,128,29,46
6046,128,30,46
6047,128,31,46
6048,128,32,46
6050,128,33,46
6051,128,34,46
6052,128,35,46
6053,128,36,46
6054,128,37,46
6055,128,38,46
6056,129,1,50
6057,129,2,49
6058,129,3,49
6059,129,4,49
6060,129,5,49
6061,129,6,49
6062,129,7,49
6063,129,8,49
6064,129,9,49
6065,129,10,49
6066,129,11,49
6067,129,12,49
6068,129,13,49
6069,129,14,49
6070,129,15,49
6071,129,16,49
6072,129,17,49
6073,129,18,49
6074,129,19,49
6075,129,20,49
6076,129,21,49
6077,129,22,49
6078,129,23,49
6079,129,24,49
6080,129,25,49
6081,129,26,49
6082,129,28,49
6083,129,29,49
6084,129,30,49
6085,129,31,49
6086,129,32,49
6088,129,33,49
6089,129,34,49
6090,129,35,49
6091,129,36,49
6092,129,37,49
6093,129,38,49
6094,130,1,45
6095,130,2,45
6096,130,3,45
6097,130,4,44
6098,130,5,44
6099,130,6,44
6100,130,7,44
6101,130,8,44
6102,130,9,44
6103,130,10,44
6104,130,11,44
6105,130,12,44
6106,130,13,44
6107,130,14,44
6108,130,15,44
6109,130,16,44
6110,130,17,44
6111,130,18,44
6112,130,19,44
6113,130,20,44
6114,130,21,44
6115,130,22,44
6116,130,23,44
6117,130,24,44
6118,130,25,44
6119,130,26,44
6120,130,28,44
6121,130,29,44
6122,130,30,44
6123,130,31,44
6124,130,32,44
6126,130,33,44
6127,130,34,44
6128,130,35,44
6129,130,36,44
6130,130,37,44
6131,130,38,44
6132,131,1,45
6133,131,2,45
6134,131,3,44
6135,131,4,44
6136,131,5,43
6137,131,6,43
6138,131,7,43
6139,131,8,43
6140,131,9,43
6141,131,10,43
6142,131,11,42
6143,131,12,42
6144,131,13,42
6145,131,14,42
6146,131,15,42
6147,131,16,42
6148,131,17,42
6149,131,18,42
6150,131,19,42
6151,131,20,42
6152,131,21,42
6153,131,22,42
6154,131,23,42
6155,131,24,42
6156,131,25,42
6157,131,26,42
6158,131,28,42
6159,131,29,42
6160,131,30,42
6161,131,31,42
6162,131,32,42
6164,131,33,42
6165,131,34,42
6166,131,35,42
6167,131,36,42
6168,131,37,42
6169,131,38,42
6170,132,1,55
6171,132,2,55
6172,132,3,54
6173,132,4,54
6174,132,5,53
6175,132,6,53
6176,132,7,52
6177,132,8,52
6178,132,9,52
6179,132,10,52
6180,132,11,52
6181,132,12,52
6182,132,13,52
6183,132,14,52
6184,132,15,52
6185,132,16,52
6186,132,17,52
6187,132,18,52
6188,132,19,52
6189,132,20,52
6190,132,21,52
6191,132,22,52
6192,132,23,52
6193,132,24,52
6194,132,25,52
6195,132,26,52
6196,132,28,52
6197,132,29,52
6198,132,30,52
6199,132,31,52
6200,132,32,52
6202,132,33,52
6203,132,34,52
6204,132,35,52
6205,132,36,52
6206,132,37,52
6207,132,38,52
6208,133,1,80
6209,133,2,80
6210,133,3,79
6211,133,4,79
6212,133,5,78
6213,133,6,78
6214,133,7,78
6215,133,8,78
6216,133,9,78
6217,133,10,78
6218,133,11,78
6219,133,12,77
6220,133,13,77
6221,133,14,77
6222,133,15,77
6223,133,16,77
6224,133,17,77
6225,133,18,77
6226,133,19,77
6227,133,20,77
6228,133,21,77
6229,133,22,77
6230,133,23,77
6231,133,24,77
6232,133,25,77
6233,133,26,77
6234,133,28,77
6235,133,29,77
6236,133,30,77
6237,133,31,77
6238,133,32,77
6240,133,33,77
6241,133,34,77
6242,133,35,77
6243,133,36,77
6244,133,37,77
6245,133,38,77
6246,134,1,90
6247,134,2,90
6248,134,3,90
6249,134,4,90
6250,134,5,90
6251,134,6,89
6252,134,7,88
6253,134,8,88
6254,134,9,87
6255,134,10,87
6256,134,11,87
6257,134,12,87
6258,134,13,87
6259,134,14,87
6260,134,15,87
6261,134,16,86
6262,134,17,86
6263,134,18,85
6264,134,19,85
6265,134,20,84
6266,134,21,84
6267,134,22,84
6268,134,23,84
6269,134,24,84
6270,134,25,84
6271,134,26,84
6272,134,28,84
6273,134,29,84
6274,134,30,84
6275,134,31,84
6276,134,32,84
6278,134,33,84
6279,134,34,84
6280,134,35,84
6281,134,36,84
6282,134,37,84
6283,134,38,84
6284,459,1,50
6285,459,2,51
6286,459,3,51
6287,459,4,51
6288,459,5,52
6289,459,6,52
6290,459,7,51
6291,459,8,51
6292,459,9,51
6293,459,10,51
6294,459,11,50
6295,459,12,50
6296,459,13,50
6297,459,14,49
6298,459,15,49
6299,459,16,49
6300,459,17,48
6301,459,18,48
6302,459,19,48
6303,459,20,48
6304,459,21,48
6305,459,22,47
6306,459,23,47
6307,459,24,47
6308,459,25,47
6309,459,26,47
6310,459,28,46
6311,459,29,46
6312,459,30,46
6313,459,31,46
6314,459,32,46
6316,459,33,46
6317,459,34,46
6318,459,35,46
6319,459,36,46
6320,459,37,46
6321,459,38,46
6322,496,1,55
6323,496,2,55
6324,496,3,55
6325,496,4,54
6326,496,5,54
6327,496,6,54
6328,496,7,54
6329,496,8,54
6330,496,9,54
6331,496,10,54
6332,496,11,54
6333,496,12,54
6334,496,13,54
6335,496,14,54
6336,496,15,54
6337,496,16,54
6338,496,17,54
6339,496,18,54
6340,496,19,54
6341,496,20,54
6342,496,21,54
6343,496,22,54
6344,496,23,54
6345,496,24,54
6346,496,25,54
6347,496,26,54
6348,496,28,54
6349,496,29,54
6350,496,30,54
6351,496,31,54
6352,496,32,54
6354,496,33,54
6355,496,34,54
6356,496,35,54
6357,496,36,54
6358,496,37,54
6359,496,38,54
6360,498,1,55
6361,498,2,55
6362,498,3,55
6363,498,4,55
6364,498,5,55
6365,498,6,55
6366,498,7,55
6367,498,8,55
6368,498,9,55
6369,498,10,55
6370,498,11,55
6371,498,12,55
6372,498,13,55
6373,498,14,55
6374,498,15,55
6375,498,16,55
6376,498,17,56
6377,498,18,56
6378,498,19,56
6379,498,20,56
6380,498,21,56
6381,498,22,56
6382,498,23,56
6383,498,24,56
6384,498,25,56
6385,498,26,56
6386,498,28,55
6387,498,29,55
6388,498,30,54
6389,498,31,54
